iter	Passed	Remaining
199	333	1333
200	335	1332
201	335	1326
202	336	1321
203	337	1315
204	337	1310
205	338	1304
206	339	1299
207	339	1294
208	340	1288
209	341	1283
210	341	1278
211	342	1273
212	343	1269
213	344	1264
214	344	1259
215	345	1254
216	346	1249
217	346	1244
218	347	1239
219	348	1236
220	349	1233
221	350	1229
222	351	1225
223	352	1220
224	352	1215
225	353	1210
226	354	1206
227	354	1201
228	355	1196
229	356	1192
230	356	1187
231	357	1183
232	358	1179
233	359	1175
234	359	1171
235	360	1167
236	361	1163
237	361	1158
238	362	1154
239	363	1151
240	364	1148
241	365	1145
242	366	1141
243	367	1137
244	368	1134
245	369	1131
246	369	1127
247	370	1123
248	371	1119
249	371	1115
250	372	1111
251	373	1107
252	373	1104
253	374	1100
254	375	1096
255	376	1093
256	376	1089
257	377	1085
258	378	1083
259	380	1082
260	381	1079
261	382	1076
262	382	1072
263	383	1069
264	384	1066
265	385	1062
266	385	1059
267	386	1056
268	387	1052
269	388	1049
270	389	1046
271	389	1043
272	391	1041
273	396	1049
274	397	1046
275	397	1043
276	399	1043
277	407	1058
278	410	1061
279	411	1059
280	413	1057
281	417	1063
282	418	1060
283	419	1057
284	420	1054
285	420	1050
286	421	1047
287	422	1044
288	423	1041
289	425	1040
290	426	1039
291	427	1036
292	428	1034
293	429	1031
294	430	1029
295	431	1027
296	432	1024
297	433	1021
298	434	1018
299	437	1019
300	438	1017
301	441	1020
302	442	1018
303	443	1015
304	445	1015
305	446	1013
306	447	1010
307	448	1007
308	449	1004
309	449	1001
310	450	998
311	451	995
312	452	992
313	453	991
314	454	989
315	455	986
316	456	984
317	457	981
318	458	978
319	459	976
320	460	973
321	461	971
322	462	968
323	463	966
324	464	964
325	465	961
326	465	958
327	466	955
328	472	962
329	473	960
330	474	958
331	475	956
332	475	953
333	476	950
334	477	947
335	477	944
336	478	941
337	479	938
338	480	935
339	480	933
340	481	930
341	482	928
342	483	926
343	485	925
344	486	922
345	486	920
346	487	917
347	488	914
348	488	911
349	489	908
350	490	906
351	490	903
352	491	900
353	492	898
354	492	895
355	493	892
356	494	890
357	494	887
358	495	884
359	496	882
360	496	879
361	498	878
362	500	877
363	501	875
364	501	873
365	502	870
366	503	868
367	503	865
368	504	863
369	505	860
370	506	857
371	506	855
372	507	852
373	508	850
374	508	847
375	509	845
376	510	843
377	510	840
378	511	838
379	512	835
380	513	834
381	514	832
382	515	830
383	516	828
384	517	826
385	518	824
386	519	822
387	520	821
388	521	819
389	522	817
390	523	815
391	523	812
392	524	810
393	526	809
394	526	806
395	528	805
396	530	805
397	531	803
398	532	801
399	532	799
400	534	798
401	535	796
402	536	794
403	536	792
404	537	789
405	538	787
406	538	785
407	539	783
408	540	780
409	540	778
410	541	776
411	542	774
412	544	773
413	545	771
414	545	769
415	546	767
416	547	765
417	548	763
418	549	762
419	550	759
420	551	757
421	551	755
422	552	753
423	553	751
424	553	749
425	554	746
426	555	744
427	555	742
428	558	742
429	559	741
430	559	739
431	560	737
432	561	734
433	561	732
434	562	730
435	563	728
436	563	726
437	564	724
438	565	722
439	565	720
440	566	718
441	567	715
442	567	713
443	568	711
444	569	709
445	569	707
446	570	705
447	571	704
448	573	703
449	573	701
450	574	699
451	575	697
452	575	695
453	576	693
454	577	691
455	578	689
456	578	687
457	579	685
458	579	683
459	580	681
460	581	679
461	581	677
462	582	675
463	583	673
464	584	672
465	584	670
466	585	668
467	586	666
468	587	665
469	588	663
470	589	662
471	590	660
472	590	658
473	591	656
474	592	654
475	592	652
476	593	650
477	594	648
478	594	646
479	595	645
480	596	643
481	596	641
482	597	639
483	598	637
484	598	635
485	599	634
486	600	632
487	601	630
488	602	629
489	603	627
490	604	626
491	604	624
492	605	622
493	606	620
494	606	619
495	607	617
496	608	615
497	608	613
498	609	612
499	610	610
500	610	608
501	611	606
502	612	605
503	613	603
504	613	601
505	614	599
506	614	598
507	615	596
508	616	594
509	617	593
510	618	592
511	619	590
512	620	588
513	620	586
514	621	585
515	622	583
516	622	581
517	623	579
518	623	578
519	624	576
520	625	574
521	626	573
522	626	571
523	627	569
524	628	568
525	628	566
526	629	564
527	630	563
528	632	562
529	633	561
530	634	560
531	634	558
532	635	556
533	636	555
534	637	553
535	637	552
536	638	550
537	638	548
538	639	547
539	640	545
540	640	543
541	641	542
542	642	540
543	643	539
544	643	537
545	644	535
546	645	534
547	646	533
548	647	531
549	648	530
550	649	528
551	650	527
552	651	526
553	652	524
554	652	523
555	653	521
556	654	520
557	654	518
558	655	517
559	656	515
560	656	514
561	657	512
562	658	510
563	658	509
564	659	507
565	660	506
566	661	505
567	662	503
568	663	502
569	664	501
570	664	499
571	665	497
572	666	496
573	666	494
574	667	493
575	668	491
576	668	490
577	669	488
578	670	487
579	670	485
580	671	484
581	672	482
582	672	481
583	673	479
584	674	478
585	675	477
586	676	475
587	677	474
588	678	473
589	679	471
590	679	470
591	680	468
592	681	467
593	681	465
594	682	464
595	683	463
596	683	461
597	684	460
598	685	458
599	685	457
600	686	455
601	687	454
602	687	452
603	688	451
604	689	449
605	689	448
606	690	447
607	691	446
608	692	444
609	693	443
610	694	442
611	694	440
612	695	439
613	696	437
614	697	436
615	697	434
616	698	433
617	699	432
618	699	430
619	700	429
620	701	427
621	702	426
622	703	425
623	703	424
624	704	422
625	705	421
626	706	420
627	707	419
628	708	417
629	709	416
630	709	415
631	710	413
632	711	412
633	711	410
634	712	409
635	713	408
636	713	406
637	714	405
638	715	404
639	715	402
640	716	401
641	717	399
642	717	398
643	718	397
644	719	395
645	720	394
646	721	393
647	722	392
648	723	391
649	723	389
650	724	388
651	725	387
652	725	385
653	726	384
654	727	383
655	727	381
656	728	380
657	729	379
658	730	377
659	730	376
660	731	375
661	732	373
662	732	372
663	733	371
664	734	369
665	735	368
666	736	367
667	737	366
668	738	365
669	739	364
670	740	363
671	741	361
672	741	360
673	742	359
674	743	357
675	743	356
676	744	355
677	745	353
678	745	352
679	746	351
680	747	350
681	747	348
682	748	347
683	749	346
684	750	345
685	751	344
686	752	342
687	753	341
688	753	340
689	754	339
690	755	337
691	755	336
692	756	335
693	757	333
694	757	332
695	758	331
696	759	330
697	759	328
698	760	327
699	761	326
700	762	325
701	762	323
702	763	322
703	764	321
704	765	320
705	766	319
706	767	318
707	768	316
708	768	315
709	769	314
710	770	313
711	770	311
712	771	310
713	772	309
714	772	308
715	773	306
716	774	305
717	775	304
718	775	303
719	776	301
720	777	300
721	777	299
722	778	298
723	779	297
724	781	296
725	782	295
726	783	294
727	783	292
728	784	291
729	785	290
730	785	289
731	786	287
732	787	286
733	787	285
734	788	284
735	789	283
736	790	281
737	790	280
738	791	279
739	792	278
740	792	277
741	793	275
742	795	275
743	796	274
744	797	272
745	797	271
746	798	270
747	799	269
748	799	268
749	800	266
750	801	265
751	801	264
752	802	263
753	803	262
754	803	260
755	804	259
756	805	258
757	805	257
758	806	256
759	807	254
760	808	253
761	810	253
762	811	252
763	812	250
764	812	249
765	813	248
766	814	247
767	815	246
768	816	245
769	816	244
770	817	242
771	818	241
772	819	240
773	819	239
774	820	238
775	822	237
776	822	236
777	825	235
778	826	234
779	827	233
780	829	232
781	831	231
782	832	230
783	833	229
784	834	228
785	835	227
786	836	226
787	837	225
788	838	224
789	841	223
790	842	222
791	843	221
792	844	220
793	844	219
794	845	218
795	846	216
796	846	215
797	847	214
798	848	213
799	848	212
800	849	211
801	850	209
802	850	208
803	851	207
804	852	206
805	852	205
806	854	204
807	855	203
808	856	202
809	857	201
810	857	199
811	858	198
812	859	197
813	859	196
814	860	195
815	861	194
816	861	193
817	862	191
818	863	190
819	863	189
820	864	188
821	865	187
822	866	186
823	866	185
824	867	183
825	868	182
826	869	181
827	870	180
828	871	179
829	872	178
830	872	177
831	873	176
832	874	175
833	875	174
834	875	173
835	876	171
836	877	170
837	877	169
838	878	168
839	878	167
840	879	166
841	880	165
842	881	164
843	881	162
844	882	161
845	883	160
846	885	159
847	886	158
848	887	157
849	889	156
850	890	155
851	891	154
852	892	153
853	892	152
854	893	151
855	894	150
856	895	149
857	895	148
858	896	147
859	897	146
860	898	145
861	899	143
862	900	142
863	901	141
864	902	140
865	902	139
866	903	138
867	904	137
868	904	136
869	905	135
870	906	134
871	906	133
872	907	132
873	908	130
874	908	129
875	909	128
876	910	127
877	911	126
878	912	125
879	913	124
880	917	123
881	918	122
882	919	121
883	920	120
884	921	119
885	921	118
886	922	117
887	923	116
888	923	115
889	924	114
890	925	113
891	926	112
892	927	111
893	927	110
894	930	109
895	931	108
896	932	107
897	933	106
898	935	105
899	937	104
900	938	103
901	939	102
902	941	101
903	942	100
904	944	99
905	946	98
906	947	97
907	948	96
908	949	95
909	950	93
910	951	92
911	951	91
912	952	90
913	954	89
914	955	88
915	956	87
916	956	86
917	957	85
918	959	84
919	960	83
920	961	82
921	963	81
922	964	80
923	965	79
924	966	78
925	966	77
926	967	76
927	968	75
928	968	74
929	969	72
930	970	71
931	971	70
932	971	69
933	972	68
934	974	67
935	975	66
936	975	65
937	976	64
938	977	63
939	977	62
940	978	61
941	979	60
942	979	59
943	980	58
944	981	57
945	981	56
946	982	54
947	983	53
948	983	52
949	984	51
950	985	50
951	986	49
952	986	48
953	989	47
954	991	46
955	992	45
956	992	44
957	994	43
958	995	42
959	996	41
960	997	40
961	998	39
962	999	38
963	1000	37
964	1001	36
965	1003	35
966	1004	34
967	1005	33
968	1006	32
969	1006	31
970	1007	30
971	1008	29
972	1009	28
973	1010	26
974	1011	25
975	1012	24
976	1012	23
977	1014	22
978	1015	21
979	1016	20
980	1019	19
981	1020	18
982	1022	17
983	1024	16
984	1025	15
985	1025	14
986	1026	13
987	1027	12
988	1028	11
989	1029	10
990	1030	9
991	1031	8
992	1032	7
993	1033	6
994	1034	5
995	1035	4
996	1036	3
997	1036	2
998	1037	1
999	1038	0
